cells	smoker	age	sex	weight
0	T	young	female	over
0	T	young	female	over
6	T	young	female	obese
2	T	young	female	obese
7	T	young	female	obese
0	T	mid	female	normal
1	T	mid	female	normal
0	T	mid	female	normal
1	T	mid	female	normal
2	T	mid	female	normal
0	T	mid	female	normal
0	T	mid	female	normal
0	T	mid	female	normal
0	T	mid	female	normal
0	T	mid	female	normal
0	T	mid	female	normal
2	T	mid	female	over
3	T	old	female	over
4	T	old	female	over
3	T	old	female	over
0	T	old	female	over
6	T	old	female	obese
0	F	young	female	normal
0	F	young	female	normal
0	F	young	female	normal
3	F	young	female	normal
0	F	young	female	normal
0	F	young	female	normal
0	F	young	female	normal
0	F	young	female	normal
0	F	young	female	normal
2	F	young	female	normal
0	F	young	female	normal
1	F	young	female	normal
0	F	young	female	normal
1	F	young	female	normal
0	F	young	female	over
0	F	young	female	over
1	F	young	female	over
1	F	young	female	over
0	F	young	female	obese
1	F	young	female	obese
0	F	mid	female	normal
0	F	mid	female	normal
2	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
3	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
2	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
1	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
1	F	mid	female	normal
0	F	mid	female	normal
1	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	normal
0	F	mid	female	over
0	F	mid	female	over
0	F	mid	female	over
1	F	mid	female	over
1	F	mid	female	obese
2	F	mid	female	obese
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
0	F	old	female	over
2	F	old	female	over
0	F	old	female	over
3	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
1	F	old	female	over
0	F	old	female	over
5	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
3	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	obese
0	F	old	female	obese
2	F	old	female	obese
0	F	old	female	obese
3	F	old	female	obese
3	F	old	female	obese
2	F	old	female	obese
5	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
2	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
4	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
3	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
3	F	old	female	normal
0	F	old	female	normal
0	F	old	female	over
4	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
5	F	old	female	over
0	F	old	female	over
0	F	old	female	over
2	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
1	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
1	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
1	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
1	F	old	female	over
1	F	old	female	over
1	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
0	F	old	female	over
3	F	old	female	over
0	F	old	female	obese
0	F	old	female	obese
2	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
3	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
2	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
4	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
2	F	old	female	obese
0	F	old	female	obese
3	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
1	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	obese
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
2	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
1	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
0	F	old	female	normal
