,idnumber,user,date,time,body,inreply,title,path,topic,weight,count
10,5504923,Ruskigbuss,2006-11-09,13:06,"     Riksdagens talman är den enda anständiga lösningen i en stat som vill kalla sej demokratisk.   Eftersom statsöverhuvud-ämbetet är utan makt och inflytande, så spelar det väl knappast någon roll vilka tomtar som försöker påverka detta.    Som talman så skall personen vara neutral i alla frågor som finns på den politiska agendan.    För att trösta rojalisterna, så har jag - med jämna mellanrum - förslagit att kungahuset skall få fortsätta, men då som privat bolag. I ett övergångsskede kan detta bolag få ensamrätt på titeln ""Sveriges Konung/Drottning"". Längre fram kan man tänka sej att de får nöja sej med ""Det Bernadottska Konungahuset av Sverige"" - och att konkurrenter kan starta. Om intresse finns.   SÅ kan demokratin få sitt - och rojalisterna kan fortsätta hurra för konungen.  ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
11,5504955,gart,2006-11-09,13:10,     Jag tycker att ni fortfarande missar frågan; varför behöver vi en statschef över huvud taget?    ,none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
12,5505102,Motvillig,2006-11-09,13:29,"  Citat:      Ursprungligen postat av Ruskigbuss  Riksdagens talman är den enda anständiga lösningen i en stat som vill kalla sej demokratisk.     Du tycker inte att att Storbrittanien, Norge, Danmark och Australien (för att nämna några) är anständigt demokratiska?  Citat:      Ursprungligen postat av Ruskigbuss    Som talman så skall personen vara neutral i alla frågor som finns på den politiska agendan.      Precis som högre tjänstemän i statsförvaltningen. Är det någon som tror att det fungerar?  Citat:      Ursprungligen postat av gart    Det är ju liksom det här som är själva grundfrågan; en riksdag och en regering och *ingenting mer*, varför inte?     Varför inte behålla något som fungerar?    ",Ruskigbuss,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
13,5505467,gart,2006-11-09,14:15,"  Citat:      Ursprungligen postat av Motvillig  Varför inte behålla något som fungerar?     Det fungerade med vedspis och dass ute på gården också, men lik förbannat behöll vi inte det...   Tjafset om monarkins vara eller icke vara kan vi hålla i andra trådar, finns gott om dem, så istället för att svara med en motfråga så kan du väl försöka dig på ett riktigt svar?    ",Motvillig,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
14,5505807,Ankdammsman,2006-11-09,15:07,"  Citat:      Ursprungligen postat av gart  Det fungerade med vedspis och dass ute på gården också, men lik förbannat behöll vi inte det...     ...vilket berodde på att det fanns alternativ som var objektivt sett bättre.   Däri ligger pudelns kärna. Jag är inte övertygad om att en folkvald (i praktiken politikerutsedd) statschef är bättre än en ärftlig.   Det sympatiska med knugen är att han är en offentlig figur som för det mesta inte utövar makt. En politiker på samma post skulle försöka använda sin position till att styra våra liv. Att betala kungen för att göra ingenting är således att föredra.    ",gart,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
15,5506118,gart,2006-11-09,15:41,  Citat:      Ursprungligen postat av Ankdammsman  ...vilket berodde på att det fanns alternativ som var objektivt sett bättre.   Däri ligger pudelns kärna. Jag är inte övertygad om att en folkvald (i praktiken politikerutsedd) statschef är bättre än en ärftlig.   Det sympatiska med knugen är att han är en offentlig figur som för det mesta inte utövar makt. En politiker på samma post skulle försöka använda sin position till att styra våra liv. Att betala kungen för att göra ingenting är således att föredra.     Och min ursprungliga fråga kvarstår; varför inte avskaffa denna post helt och hållet?    ,Ankdammsman,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
16,5507205,Herr Lindholm,2006-11-09,17:42,"  Citat:      Ursprungligen postat av fakesky  Tjänar inte Sverige redan in pengar på att ha Knugen som reklamgubbe?  Det är iof väldigt godtyckligt, men jag vill mig minnas att hans person  var värd ganska mycket mer än vad han tar i drift.   Tja, i samband med uttalandet om Brunei så fick en av kungens kompisar (du vet dom där som kallar sig för Noppe, Poppe eller Roppe) tillfälle att göra reklam för sina golfresor till Brunei. Annars är kungen lika relevant för företagande som skäggiga damen eller dvärgen som biter huvet av kycklingar.   Citat:      Ursprungligen postat av fakesky  Men visst, vi kan ju ha både en president och statminister, som i Finland.  Jäklar vad vettigt det låter.   Inte märkvärdigare än att partiledaren för Moderaterna även är statsminister...   Citat:      Ursprungligen postat av fakesky  Dessutom, ska en byråkrat vara billigare än en kung?  Enligt vilka principer då? Att byråkrater är sparsamma?   Byråkrater kan sparkas...   MVH  /HL    ",fakesky,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
17,5507283,tras,2006-11-09,17:49,"  Citat:      Ursprungligen postat av Kotzen  ..de som skriver skolböcker i SO för mellanstadiebarn inte ha något att skriva i faktarutan bredvid Sverige, där det bredvid andra civiliserade länder står statsskick: republik/monarki..      Står det så? Det har verkligen gått utför med detta lands utbildningssystem...Konstitutionell monarki stod det i mina böcker.   Tycker för övrigt att vi ska kvar vår monarki i dess nuvarande utformning. Åberopar mig helt fräckt på tradition och betydelsen av en (relativt maktlös)samlingsgestalt som integrerar nationen i tiden och i rummet.  Märk väl att jag talar om monarken som funktion, inte som person.   Och jag kan det där med konstruktioner och föreställda gemenskaper; jag menar bara att just denna konstruktion är den mest sympatiska i frågan.    ",Kotzen,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
18,5507340,Realizt,2006-11-09,17:54,"     Statsöverhuvud, för alla länder ursprungligen kung, behövs kanske för att påminna oss om att staten är en krigsherre som per definition aldrig kan syssla med någonting annat än att med våld förtrycka sina undersåtar. Allt som en stat gör är våld.  Utifrån detta faktum kan man sen diskutera om man vill ha en gigantisk stat som sysslar med miljoner saker i allas vardag, eller en minimal stat som bara sysslar med att bestraffa kriminella.    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
19,5507812,Ruskigbuss,2006-11-09,18:45,"  Citat:      Ursprungligen postat av Realizt  Utifrån detta faktum kan man sen diskutera om man vill ha en gigantisk stat som sysslar med miljoner saker i allas vardag, eller en minimal stat som bara sysslar med att bestraffa kriminella.     Faktum? Åsikt menar du nog?     Det finns oftast fler alternativ än två extremer.   En stat som sysslar med det som privata inte kan göra och som utövar kontroll över det som privata företag gör.   Inget alternativ kräver dock en konung.    ",Realizt,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
20,5510536,Motvillig,2006-11-09,23:39,"  Citat:      Ursprungligen postat av gart  Det fungerade med vedspis och dass ute på gården också, men lik förbannat behöll vi inte det...     Visa pa en losning som ar battre an dagens och behovet av en forandring sa skall du se att jag snabbt blir republikan. Na?  Citat:      Ursprungligen postat av gart    Tjafset om monarkins vara eller icke vara kan vi hålla i andra trådar, finns gott om dem,      Vi forstar mycket val varfor du inte vill debattera den fragan.   Citat:      Ursprungligen postat av gart    så istället för att svara med en motfråga så kan du väl försöka dig på ett riktigt svar?     Att ersatta statschefen med ingenting lar leda till att de uppgifter som utfors idag inte langre utfors. Nojd nu?    ",gart,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
21,5510915,gart,2006-11-10,00:24,  Citat:      Ursprungligen postat av Motvillig  Att ersatta statschefen med ingenting lar leda till att de uppgifter som utfors idag inte langre utfors. Nojd nu?     Nej. Vilka uppgifter tänker du på?    ,Motvillig,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
22,5511186,Motvillig,2006-11-10,01:07,  Citat:      Ursprungligen postat av gart  Nej. Vilka uppgifter tänker du på?     Vasentligen representativa och PR-inriktade funktioner. Vet du verkligen inte vad kungen gor?    ,gart,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
23,5511574,em krej,2006-11-10,02:37,"     Jag förstår inte varför folk tror att det enda som finns att välja mellan är president eller kung. Vi är vårt eget land, vi behöver inte ha en statschef,president eller kung. Det finns inte en internationell regel som säger att man antingen är republik eller monarki. Vi kan skapa vårat eget system så som vi vill ha det. Vi kan avskaffa kungen nu, och med avskaffningen försvinner även statschefplatsen. Kungen har idag ingen politisk makt, så ingen behöver ta över hans arbete, eftersom det inte finns något att ta över. All politik blir exakt likadan som den är nu, bara det att vi inte har en kung längre.    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
24,5511584,em krej,2006-11-10,02:39,"  Citat:      Ursprungligen postat av Motvillig  Vasentligen representativa och PR-inriktade funktioner. Vet du verkligen inte vad kungen gor?     Kungen är för tusan ett brott mot demokratin, ska vi tillåta det endast för att tjäna lite pengar och för att kungen är trevlig?    ",Motvillig,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
25,5512355,Motvillig,2006-11-10,08:55,"  Citat:      Ursprungligen postat av em krej  Kungen är för tusan ett brott mot demokratin, ska vi tillåta det endast för att tjäna lite pengar och för att kungen är trevlig?     Kungen ar demokratiskt vald av riksdagen. En annan post som tillsatts direkt av riksdagen ar statsministern. Tycker du att Reinfeld ocksa ar ett brott mot demokratin? Ar forresten Norge en demokrati, tycker du?  Citat:      Ursprungligen postat av em krej    Kungen har idag ingen politisk makt, så ingen behöver ta över hans arbete, eftersom det inte finns något att ta över.     Annu ett underbetyg till den svenska grundskolan.    ",em krej,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
26,5512692,gart,2006-11-10,10:10,  Citat:      Ursprungligen postat av Motvillig  Vasentligen representativa och PR-inriktade funktioner.     Vanlig marknadsföring alltså?   Jag ser ingen anledning till att landets politiska styrning ska inkludera marknadsföring.    ,Motvillig,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
27,5512700,gart,2006-11-10,10:12,"  Citat:      Ursprungligen postat av em krej  Jag förstår inte varför folk tror att det enda som finns att välja mellan är president eller kung. Vi är vårt eget land, vi behöver inte ha en statschef,president eller kung. Det finns inte en internationell regel som säger att man antingen är republik eller monarki.     Precis det jag menar. Och än så länge, efter tre sidor tråd, har jag inte sett en bra förklaring till varför inte landet skulle tuffa på  precis som vanligt om vi plockade bort jobbet ""statschef"" i morgon dag.    ",em krej,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
28,5512736,gart,2006-11-10,10:21,"     Får jag alltså åter påminna om att tråden inte handlar om kungen, om han är demokratiskt vald eller inte, eller om han är bra eller dålig, utan om vad som skulle hända om posten ""statschef"" togs bort i Sverige, oavsett om ""statschef"" är kung eller president.    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
29,5516943,Strix m/94,2006-11-10,19:26,"  Citat:      Ursprungligen postat av Ruskigbuss  Riksdagens talman är den enda anständiga lösningen i en stat som vill kalla sej demokratisk.     ...inte sant! I själva verket är ju ett stort antal stater som med all rimlighet kan kallas demokratiska konstitutionella monarkier; Sverige, Norge, Danmark, Belgien, Nederländerna, Storbritannien, Japan, Spanien osv. Att påstå att t ex Sverige skulle bli mer eller mindre demokratiskt beroende på om vi har monarki eller republik saknar all grund, och ger uppriktigt sagt ett litet dumt intryck.   Citat:        Eftersom statsöverhuvud-ämbetet är utan makt och inflytande, så spelar det väl knappast någon roll vilka tomtar som försöker påverka detta.         Således är det alltså inte ett problem att vi har monarki, förmodar jag?   Citat:        För att trösta rojalisterna, så har jag - med jämna mellanrum - förslagit att kungahuset skall få fortsätta, men då som privat bolag. I ett övergångsskede kan detta bolag få ensamrätt på titeln ""Sveriges Konung/Drottning"". Längre fram kan man tänka sej att de får nöja sej med ""Det Bernadottska Konungahuset av Sverige"" - och att konkurrenter kan starta. Om intresse finns.   SÅ kan demokratin få sitt - och rojalisterna kan fortsätta hurra för konungen.      Nu är ju läget så att att vi rojalister kommer att fortsätta hylla Konungen alldeles oavsett vad liberaler och socialister hittar på för skadliga samhällsexperiment. Successionsordningen gäller och endast om kungahuset utslocknar, kan det bli aktuellt med en ny sådan.    ",Ruskigbuss,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
30,5517062,Vilsen,2006-11-10,19:36,     Fördelen med kungen är att han inte behöver ta skit från någon.  Alla demokratiskt tilsatta personer fegar ur förr eller senare.  Jag förutspår dock att Calle blir den sista i sitt slag med tanke på hans patetiska avkommor.  Jag hoppas att han lever lika länge som sina förfäder så man inte behöver bry sig om den här frågan förän om 30år.    ,none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
31,5517126,Strix m/94,2006-11-10,19:43,"  Citat:      Ursprungligen postat av gart  Jag tycker att ni fortfarande missar frågan; varför behöver vi en statschef över huvud taget?     ...berättigad och förtjänar ett seriöst svar. Alla jordens stater har ett statsöverhuvud, eller statschef som det oftast kallas. Denna person företräder landet främst utåt, men har även i regel en betydande samlande funktion inåt. Denne/denna är det officiellas främsta symbol och befattningen är ofta förknippad med några formella, men mycket viktiga roller:  - Utför och tar emot statsbesök hos/från andra statschefer. Viktig funktion för att det internationella samarbetet skall fungera.  - Tar emot utländska ambassadörers kreditivbrev, och undertecknar svenska ambassadörers dito.  - Är den formelle, ibland reelle, överbefälhavaren. (Ej i Sverige sedan 1974.)   Självklart behöver det inte finnas en speciellt utsedd person för denna roll. I USA är presidenten både regeringschef och statschef. På Island är presidenten enbart en symbolisk funktion, rätt lik den svenska kungen. Med tanke på att talmannens uppgifter redan är tämligen omfattande är det lämpligt med en särskild person för statschefsrollen. I grund och botten är vår svenska monarkiska lösning rätt bra, inte bara historiskt och kulturellt, utan även funktionellt. Republikanerna har inte lyckats presentera någon särskilt bra alternativ lösning.    ",gart,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
32,5518224,Realizt,2006-11-10,21:48,"  Citat:      Ursprungligen postat av Ruskigbuss  Faktum? Åsikt menar du nog?      Nej, faktum menade jag. En stat uppstår genom att någon krigsherre sätter svärdet mot strupen på en underkuvad och säger: ""Du är min slav!"" Kungen är denne krigsherre. ""Staten, det är jag!"" för att citera Ludvig XIV...  På exakt samma sätt är det med alla stater. Den undersåte som inte lyder statens alla ordrar, kuvas till underkastelse med precis så mycket våld som behövs.  Sen kan ju du fantisera om att det skulle finnas goda ting som inte skulle kunna uträttas utan detta våld mot alla motvilliga. Det är bara tom våldsförhärligande krigsherrepropaganda för det.    ",Ruskigbuss,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
33,5519354,gart,2006-11-11,00:10,"  Citat:      Ursprungligen postat av Strix m/94  ...berättigad och förtjänar ett seriöst svar. Alla jordens stater har ett statsöverhuvud, eller statschef som det oftast kallas. Denna person företräder landet främst utåt, men har även i regel en betydande samlande funktion inåt. Denne/denna är det officiellas främsta symbol och befattningen är ofta förknippad med några formella, men mycket viktiga roller: *1* - Utför och tar emot statsbesök hos/från andra statschefer. Viktig funktion för att det internationella samarbetet skall fungera. *2* - Tar emot utländska ambassadörers kreditivbrev, och undertecknar svenska ambassadörers dito. *3* - Är den formelle, ibland reelle, överbefälhavaren. (Ej i Sverige sedan 1974.)   Självklart behöver det inte finnas en speciellt utsedd person för denna roll. I USA är presidenten både regeringschef och statschef. På Island är presidenten enbart en symbolisk funktion, rätt lik den svenska kungen. Med tanke på att talmannens uppgifter redan är tämligen omfattande är det lämpligt med en särskild person för statschefsrollen. I grund och botten är vår svenska monarkiska lösning rätt bra, inte bara historiskt och kulturellt, utan även funktionellt. Republikanerna har inte lyckats presentera någon särskilt bra alternativ lösning.     Tack för ett bra inlägg!   Jag har sprängt in numreringar i citatet ovan, vill diskutera dem i denna ordning:   3. Jag utgår ifrån att statsministern är sveriges överbefälhavare numera? Jag kan inte se någon anledning till att ha en formell överbefälhavare i form av en kung, vad är vitsen med det?   2. Varför skulle inte statsministerns kansli kunna sköta pappersarbetet med svenska och utländska ambassadörer?   1. Om jag vore statschef för ett annat land, skulle jag bra mycket hellre träffa statsministern än kungen... vad är idén med att andra länders statsöverhuvud ska träffa en person som inte har något mandat att göra något alls?    ",Strix m/94,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
34,5520128,Motvillig,2006-11-11,01:54,"  Citat:      Ursprungligen postat av gart  Vanlig marknadsföring alltså?   Jag ser ingen anledning till att landets politiska styrning ska inkludera marknadsföring.     Suck. Kungen ingår ju inte i den politiska styrningen.   Naturligtvis kan du få argumentera för att samhället inte skall ägna sig åt några som helst ceremonier och marknadsföringsjippon, kungliga eller andra, i syfte att på olika sätt göra saker och ting lite trevligare eller bara för att göra reklam för Sverige. Du blir nog förhållandevis ensam (det är förstås inte otänkbart att ett och annat parti i samma storleksordning som Linda Rosings unikum kommer att stå bredvid dig på din barrikad).  Citat:      Ursprungligen postat av gart    Jag utgår ifrån att statsministern är sveriges överbefälhavare numera? Jag kan inte se någon anledning till att ha en formell överbefälhavare i form av en kung, vad är vitsen med det?     Traditioner och annat metafysiskt är viktigare än man kan tro i militära sammanhang. Vi har exempel på krigsmakter (t ex Röda Armén) som försökt avskaffa allt bjäfs och mycket snart lärt sig läxan (i Röda Arméns fall så väl att varenda gubbe som ens såg en uniform under kriget har en hel parad med medaljer att hänga på kavajen). Skadar det på något sätt att kungen är generalamiral?   Citat:      Ursprungligen postat av gart    2. Varför skulle inte statsministerns kansli kunna sköta pappersarbetet med svenska och utländska ambassadörer?     Det mesta sköts redan av UD. Kungen har bara hand om den ceremoniella delen.   Citat:      Ursprungligen postat av gart    1. Om jag vore statschef för ett annat land, skulle jag bra mycket hellre träffa statsministern än kungen...      Om du blir statschef för ett annat land får vi alltså till slut ett skäl att prata om republik. Hör av dig när det händer.    Citat:      Ursprungligen postat av gart    vad är idén med att andra länders statsöverhuvud ska träffa en person som inte har något mandat att göra något alls?     Du kan kanske skriva ett brev till GWB och fråga varför han tog emot kungaparet häromveckan?    ",gart,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
35,5520276,fakesky,2006-11-11,02:21,"  Citat:      Ursprungligen postat av em krej  Kungen har idag ingen politisk makt, så ingen behöver ta över hans arbete, eftersom det inte finns något att ta över. All politik blir exakt likadan som den är nu, bara det att vi inte har en kung längre.     Han har visst makt.  Det krävs ganska väsentliga grundlagsändringar för att regeringen eller staten  som helhet skulle kunna fungera utan en regent.   Sen att han enligt den överänskommelse som fortfarande gäller, i sin väsentlighet,  avstår från att ta politisk ställning i sakfrågor eller allmänt strula till det för parlamentet är en sak för sig.   Problemet, som jag upprepar, är att han har en ganska betydande roll för Sverige,  och den rollen kan inte bara försvinna utan måste ersättas.  Man kan gnälla om att det är odemokratiskt, men rent pragmatiskt är  det milslångt bättre att ha en förutbestämd statschef.   Sedan är det faktiskt helt i ordning att ett land har passivt styre av  en regent. Det är på inget sätt i strid mot gällande lagar vare sig i Sverige eller internationellt.   /Per    ",em krej,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
36,5521029,Bleep,2006-11-11,09:31,"     Läste någonstans att knugens värde som ""varumärke"" för ""produkten"" Sverige uppskattas till ungefär 1 miljard. Att tro att talmannen skulle vara till lika stort gagn för nationens ekonomi och därmed i slutänden medborgarna är nonsens.  Häll brun läsk i en flaska och testa att sälja den under ett av följande två namn/varumärken så får ni se vad som säljer bäst:  Coca-Cola / Cuba-Cola  Reflektera sedan över begreppet handelsavtal.    ",none,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
37,5522146,gart,2006-11-11,13:30,  Citat:      Ursprungligen postat av fakesky  Det krävs ganska väsentliga grundlagsändringar för att regeringen eller staten som helhet skulle kunna fungera utan en regent.     Kan du berätta vilka dessa ändringar är?    ,fakesky,Avskaffa monarkin och inför... ingenting?,Alla forum/Politik/Politik: inrikes/Valsystemet och statsskicket,disk/FB2/,1.0,
