"OBSERV","DIOX","PLANT","TIME","LAB","OXYGEN","LOAD","PRSEK","O2","O2COR","NEFFEKT","QRAT","QROEG","TOVN","TROEG","POVN","CO2","CO","SO2","HCL","H2O"
"28",3032,124.40704234,"RENO_S","1","USA","H","H","L",12.79,1.79,0.1150990099,0.325907644235525,31791.55,1003.5,197.18,-7.27,8.32,9.76,189.6,86.44,9.52
"29",3042,123.66859296,"RENO_S","1","KK","L","H","L",11.16,0.16,0.1212871287,0.410925352442459,29687.51,1037.88,196.17,-10.06,9.26,4.2,161.76,185.07,9.42
"30",3051,170.05332632,"RENO_S","1","USA","N","N","N",11.5,0.5,0.025990099,0.417974136385418,32761.22,1031.35,191.93,-10.77,9.26,2.78,173.73,254.14,10.17
"31",3052,95.868704018,"RENO_S","1","KK","N","N","N",11.5,0.5,0.025990099,0.417974136385418,32761.22,1031.35,191.93,-10.77,9.26,2.78,173.73,254.14,10.02
"32",3061,202.69261215,"RENO_S","1","USA","N","N","N",11.21,0.21,0,0.369017794423021,31905.64,1028.2,186.95,-10.6,9.29,5.06,203.31,136.33,11.21
"33",3062,70.686307069,"RENO_S","1","USA","N","N","N",11.21,0.21,0,0.369017794423021,31905.64,1028.2,186.95,-10.6,9.29,5.06,203.31,136.33,11.51
"34",3071,52.034715526,"RENO_S","1","KK","L","H","H",10.63,-0.37,0.0655940594,0.200254094279969,34022.86,1118.48,199.68,-11.08,9.97,5.25,214.71,355.55,11.6
"35",3072,93.33525462,"RENO_S","1","USA","L","H","H",10.63,-0.37,0.0655940594,0.200254094279969,34022.86,1118.48,199.68,-11.08,9.97,5.25,214.71,355.55,11.39
"36",3081,121.47464906,"RENO_S","1","USA","H","H","H",12.75,1.75,0.0198019802,0.328447551867507,42394.65,1056.29,201.84,-5.54,7.82,48.08,150.43,487.75,9.3
"37",3082,94.833869239,"RENO_S","1","KK","H","H","H",12.75,1.75,0.0198019802,0.328447551867507,42394.65,1056.29,201.84,-5.54,7.82,48.08,150.43,487.75,9.1
"38",3091,68.624596439,"RENO_S","1","USA","H","L","L",12.86,1.86,-0.212871287,0.356614744786953,26216.14,1021.54,181.84,-10.71,6.41,95.72,92.58,305.2,10.28
"39",3092,64.837097371,"RENO_S","1","KK","H","L","L",12.86,1.86,-0.212871287,0.356614744786953,26216.14,1021.54,181.84,-10.71,6.41,95.72,92.58,305.2,9.62
"40",3101,32.351569811,"RENO_S","1","KK","L","L","L",11.01,0.01,-0.207920792,0.376721463331070,21115.13,1083.43,177.74,-10.8,8.15,11.45,145.59,193.37,12.12
"41",3102,29.285124102,"RENO_S","1","USA","L","L","L",11.01,0.01,-0.207920792,0.376721463331070,21115.13,1083.43,177.74,-10.8,8.15,11.45,145.59,193.37,11.59
"42",3111,31.36974463,"RENO_S","1","USA","L","L","H",10.05,-0.95,-0.24009901,0.2593537270613,20361.72,1131.77,174.98,-12.65,10.46,4.61,149.89,309.45,11.82
"43",3112,28.127853881,"RENO_S","1","KK","L","L","H",10.05,-0.95,-0.24009901,0.2593537270613,20361.72,1131.77,174.98,-12.65,10.46,4.61,149.89,309.45,11.38
"44",3121,91.825330102,"RENO_S","1","KK","H","L","H",13.7,2.7,-0.26980198,0.715442958137724,27557.14,908.45,180.83,-12.9,6.75,79.03,113.56,491.56,7.48
"45",3122,136.4559307,"RENO_S","1","USA","H","L","H",13.7,2.7,-0.26980198,0.715442958137724,27557.14,908.45,180.83,-12.9,6.75,79.03,113.56,491.56,7.52
"46",4011,126.11889968,"RENO_N","2","KK","H","L","H",12.73,1.73,-0.28311452,1.00482716951302,46062.96,911.55,185.92,-9.06,7.89,14.76,160.08,163.5,11.62
"47",4022,76.520259821,"RENO_N","2","KK","L","L","L",10.4,-0.6,-0.27466528,0.505951230441646,36274.64,1012,179.15,-7.86,9.33,4.79,320.11,203.78,14.02
"48",4032,93.551979795,"RENO_N","2","USA","L","L","H",10.17,-0.83,-0.27466528,0.5994578873094,25931.3,997.18,178.42,-6.16,9.02,3.61,279.07,926.17,14.49
"49",4041,207.09703422,"RENO_N","2","USA","H","L","L",13.69,2.69,-0.268815807,0.288134410856868,42887.28,1013.37,193.2,-8.95,5.74,51.84,212.32,235.25,9.32
"50",4052,383.44185307,"RENO_N","2","USA","N","N","N",11.6,0.6,-0.094631483,0.658498949217307,44368.05,991.11,198.63,-8.13,8.47,9.64,176.85,294.46,11.95
"51",4061,156.79345897,"RENO_N","2","USA","N","N","N",11.22,0.22,0.0366567009,0.826677285094887,44989.71,979.66,204.87,-7.96,9.24,14.8,179.72,106.13,12.5
"52",4071,322.72413197,"RENO_N","2","USA","L","H","L",10.1,-0.9,0.1854933056,0.290411865611605,53592.38,1042.4,218.46,-9.66,10.27,10.54,255.44,253.62,14.51
"53",4082,554.05710342,"RENO_N","2","USA","H","H","H",12.99,1.99,0.1341479267,0.791235338046955,72118.53,893.59,228.68,-6.9,7.4,55.12,NA,246.4,9.75
"54",4091,122.55552697,"RENO_N","2","KK","N","N","N",11.25,0.25,0.0373066424,0.824527553575183,51742.5,985.29,209.45,-8.48,8.02,11.03,272.44,224.57,12.38
"55",4102,112.70050456,"RENO_N","2","KK","N","N","N",11.2,0.2,0.0490055895,0.922524795391578,53259.51,853.48,210.84,-8.26,8.36,13.04,194.85,696.48,13.84
"56",4111,94.245481423,"RENO_N","2","KK","L","H","H",10.1,-0.9,0.1347978682,0.78017411552601,53815.36,841.79,215.81,-7.45,9.72,11.37,56.76,688.01,14.18
"57",4122,323.16498582,"RENO_N","2","KK","H","H","L",11.91,0.91,0.2816846484,0.404772507946451,71442.64,851.71,232.05,-9.26,7.65,34.59,279.51,810.08,12.56
